rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv32,1,      1.0000,   3784.5092,      0.0001,     33.0000,   4593.1824,      0.0000,     24.0000,   4471.3053,      0.0000,     24.0000
health_private_surv33,1,      1.0000,   3521.6828,      0.0002,     33.0000,   5040.7102,      0.0000,     24.0000,   4884.8662,      0.0000,     24.0000
health_private_surv34,1,      1.0000,   3325.0194,      0.0001,     33.0000,   5356.6901,      0.0000,     24.0000,   5207.5920,      0.0000,     24.0000
health_private_surv35,1,      1.0000,   3347.7562,      0.0001,     33.0000,   4958.3951,      0.0000,     24.0000,   4833.0762,      0.0000,     24.0000
health_private_surv36,1,      1.0000,   3231.4007,      0.0001,     33.0000,   4673.7442,      0.0000,     24.0000,   4549.8224,      0.0000,     24.0000
health_private_surv37,1,      1.0000,   2868.0782,      0.0003,     33.0000,   3965.7695,      0.0000,     24.0000,   3825.9134,      0.0000,     24.0000
health_private_surv38,1,      1.0000,   2374.8338,      0.0026,     33.0000,   3124.6646,      0.0000,     24.0000,   2991.9275,      0.0000,     24.0000
health_private_surv39,1,      1.0000,   2092.4024,      0.0105,     33.0000,   3100.1560,      0.0000,     24.0000,   3060.9678,      0.0000,     24.0000
health_private_surv40,1,      1.0000,   2174.5774,      0.0083,     33.0000,   3594.2794,      0.0000,     24.0000,   3529.2096,      0.0000,     24.0000
health_private_surv41,1,      1.0000,   2252.2207,      0.0061,     33.0000,   4240.8227,      0.0000,     24.0000,   4179.7751,      0.0000,     24.0000
health_private_surv42,1,      1.0000,   2405.5507,      0.0040,     33.0000,   4603.0109,      0.0000,     24.0000,   4589.9969,      0.0000,     24.0000
health_private_surv43,1,      1.0000,   2478.0548,      0.0047,     33.0000,   4238.6458,      0.0000,     24.0000,   4199.5865,      0.0000,     24.0000
health_private_surv44,1,      1.0000,   2130.1309,      0.0200,     33.0000,   3472.3431,      0.0000,     24.0000,   3517.9861,      0.0000,     24.0000
health_private_surv45,1,      1.0000,   2018.1294,      0.0458,     33.0000,   3226.2958,      0.0000,     24.0000,   3366.9933,      0.0000,     24.0000
health_private_surv46,1,      1.0000,   2672.0565,      0.0061,     33.0000,   3804.9583,      0.0000,     24.0000,   3858.0670,      0.0000,     24.0000
health_private_surv47,1,      1.0000,   3178.2553,      0.0008,     33.0000,   4231.0430,      0.0000,     24.0000,   4171.6653,      0.0000,     24.0000
health_private_surv48,1,      1.0000,   2948.8410,      0.0058,     33.0000,   3900.4052,      0.0000,     24.0000,   3874.1564,      0.0000,     24.0000
health_private_surv49,1,      1.0000,   2718.7480,      0.0250,     33.0000,   3503.9216,      0.0000,     24.0000,   3522.9274,      0.0000,     24.0000
health_private_surv50,1,      1.0000,   3031.9825,      0.0133,     33.0000,   3770.6019,      0.0000,     24.0000,   3705.4377,      0.0000,     24.0000
health_private_surv51,1,      1.0000,   3640.7401,      0.0040,     33.0000,   5569.5196,      0.0000,     24.0000,   5463.0198,      0.0000,     24.0000
health_private_surv52,1,      1.0000,   3481.9000,      0.0088,     33.0000,   6710.2740,      0.0000,     24.0000,   6741.6072,      0.0000,     24.0000
health_private_surv53,1,      1.0000,   3021.1815,      0.0281,     33.0000,   5763.6414,      0.0000,     24.0000,   5898.3086,      0.0000,     24.0000
health_private_surv54,1,      1.0000,   3914.4135,      0.0107,     33.0000,   5553.1042,      0.0000,     24.0000,   5507.3134,      0.0000,     24.0000
health_private_surv55,1,      1.0000,   4844.5816,      0.0073,     33.0000,   6417.2227,      0.0000,     24.0000,   6008.3373,      0.0000,     24.0000
health_private_surv56,1,      1.0000,   4393.2345,      0.0174,     33.0000,   6503.7384,      0.0000,     24.0000,   6049.0359,      0.0000,     24.0000
health_private_surv57,1,      1.0000,   4001.0742,      0.0267,     33.0000,   5674.7110,      0.0000,     24.0000,   5480.4369,      0.0000,     24.0000
health_private_surv58,1,      1.0000,   4561.7041,      0.0154,     33.0000,   5240.0955,      0.0000,     24.0000,   5132.6617,      0.0000,     24.0000
health_private_surv59,1,      1.0000,   5309.5181,      0.0078,     33.0000,   5248.3912,      0.0000,     24.0000,   5237.3682,      0.0000,     24.0000
health_private_surv60,1,      1.0000,   5625.3750,      0.0054,     33.0000,   5467.4612,      0.0000,     24.0000,   5538.8951,      0.0000,     24.0000
health_private_surv61,1,      1.0000,   5474.0659,      0.0053,     33.0000,   5538.1772,      0.0000,     24.0000,   5579.9411,      0.0000,     24.0000
health_private_surv62,1,      1.0000,   5550.2061,      0.0046,     33.0000,   5737.0754,      0.0000,     24.0000,   5686.5847,      0.0000,     24.0000
health_private_surv63,1,      1.0000,   6343.5336,      0.0032,     33.0000,   8086.3316,      0.0000,     24.0000,   7994.6656,      0.0000,     24.0000
health_private_surv64,1,      1.0000,   6837.4710,      0.0052,     33.0000,   9921.3716,      0.0000,     24.0000,   9883.0853,      0.0000,     24.0000
health_private_surv65,1,      1.0000,   5971.2543,      0.0157,     33.0000,   8053.5211,      0.0000,     24.0000,   7708.3944,      0.0000,     24.0000
health_private_surv66,1,      1.0000,   4308.7088,      0.0387,     33.0000,   6039.7207,      0.0000,     24.0000,   5629.2596,      0.0000,     24.0000
health_private_surv67,1,      1.0000,   3172.1576,      0.0980,     33.0000,   3600.3435,      0.0000,     24.0000,   3372.6085,      0.0000,     24.0000
health_private_surv68,1,      1.0000,   2625.2078,      0.1704,     33.0000,   1419.7054,      0.0049,     24.0000,   1187.7020,      0.0264,     24.0000
health_private_surv69,1,      1.0000,   2022.6708,      0.2733,     33.0000,   2496.6312,      0.0000,     24.0000,   2302.2002,      0.0000,     24.0000
