rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv42,0,      3.0000,   2885.4790,      0.1178,     23.0000,  -2692.3814,      0.0133,     20.0000,  -2770.0755,      0.0146,     20.0000
health_private_surv43,0,      3.0000,   2755.7964,      0.1279,     23.0000,  -2345.9792,      0.0179,     20.0000,  -2421.0360,      0.0192,     20.0000
health_private_surv44,0,      3.0000,   2621.0802,      0.1446,     23.0000,  -1997.8972,      0.0265,     20.0000,  -2070.0292,      0.0277,     20.0000
health_private_surv45,0,      3.0000,   2408.3700,      0.1907,     23.0000,  -1548.1842,      0.0677,     20.0000,  -1623.7967,      0.0664,     20.0000
health_private_surv46,0,      3.0000,   2322.6825,      0.2293,     23.0000,  -1306.8118,      0.0938,     20.0000,  -1369.7734,      0.0918,     20.0000
health_private_surv47,0,      3.0000,   2629.1154,      0.2123,     23.0000,  -1907.5623,      0.0458,     20.0000,  -1984.8349,      0.0460,     20.0000
health_private_surv48,0,      3.0000,   2860.5660,      0.1924,     23.0000,  -2324.0198,      0.0479,     20.0000,  -2431.7435,      0.0467,     20.0000
health_private_surv49,0,      3.0000,   3640.5709,      0.0901,     23.0000,   -897.8832,      0.3726,     20.0000,   -987.4915,      0.3481,     20.0000
health_private_surv50,0,      3.0000,   4429.6683,      0.0430,     23.0000,    441.2010,      0.6517,     20.0000,    377.0149,      0.7112,     20.0000
health_private_surv51,0,      3.0000,   3345.3073,      0.1405,     23.0000,   -799.3366,      0.5497,     20.0000,   -883.7192,      0.5278,     20.0000
health_private_surv52,0,      3.0000,   2333.6025,      0.3174,     23.0000,  -2180.8723,      0.2051,     20.0000,  -2280.1749,      0.2068,     20.0000
health_private_surv53,0,      3.0000,   2334.5288,      0.3137,     23.0000,  -2324.3055,      0.1518,     20.0000,  -2411.8580,      0.1553,     20.0000
health_private_surv54,0,      3.0000,   2310.0367,      0.3259,     23.0000,  -2231.0929,      0.1564,     20.0000,  -2310.5814,      0.1593,     20.0000
health_private_surv55,0,      3.0000,   1823.2296,      0.4634,     23.0000,  -1368.2163,      0.4376,     20.0000,  -1477.9437,      0.4234,     20.0000
health_private_surv56,0,      3.0000,   1439.7777,      0.5873,     23.0000,   -786.8898,      0.6961,     20.0000,   -915.5715,      0.6648,     20.0000
health_private_surv57,0,      3.0000,   2425.3358,      0.3789,     23.0000,   -535.6545,      0.7086,     20.0000,   -668.1939,      0.6550,     20.0000
health_private_surv58,0,      3.0000,   3306.7816,      0.2822,     23.0000,   -198.1340,      0.8869,     20.0000,   -340.1269,      0.8150,     20.0000
health_private_surv59,0,      3.0000,   3525.1460,      0.2410,     23.0000,   -200.2288,      0.8661,     20.0000,   -303.7446,      0.8065,     20.0000
health_private_surv60,0,      3.0000,   3860.1334,      0.2136,     23.0000,   -453.9206,      0.7450,     20.0000,   -498.7407,      0.7372,     20.0000
health_private_surv61,0,      3.0000,   3559.9675,      0.2693,     23.0000,   -678.2677,      0.5672,     20.0000,   -719.2262,      0.5678,     20.0000
health_private_surv62,0,      3.0000,   3197.5798,      0.3311,     23.0000,   -514.5440,      0.6351,     20.0000,   -574.6120,      0.6118,     20.0000
health_private_surv63,0,      3.0000,   3786.0260,      0.2828,     23.0000,    226.4190,      0.8350,     20.0000,    159.6576,      0.8879,     20.0000
health_private_surv64,0,      3.0000,   4353.9303,      0.2563,     23.0000,    508.4004,      0.6259,     20.0000,    452.4603,      0.6776,     20.0000
health_private_surv65,0,      3.0000,   3635.1257,      0.3319,     23.0000,  -3102.9211,      0.0085,     20.0000,  -3085.7970,      0.0130,     20.0000
